run_at,column_name,business_name,definition,calculation_logic,unit,owner,dimension,is_business_key,datasets,sf_type,null_pct_avg,distinct_count,documentation_status
2026-06-05 16:17 UTC,VIDEO_100,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,21.82,9082,TO BE DEFINED
2026-06-05 16:17 UTC,VISTAS,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",FLOAT,16.29,3267,TO BE DEFINED
2026-06-05 16:17 UTC,INVERSION_REAL,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",FLOAT,3.16,38446,TO BE DEFINED
2026-06-05 16:17 UTC,ALCANCE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",NUMBER,19.46,12459,TO BE DEFINED
2026-06-05 16:17 UTC,IDENTIFICADOR,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,0.0,6,TO BE DEFINED
2026-06-05 16:17 UTC,OBJETIVO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,61.31,6,TO BE DEFINED
2026-06-05 16:17 UTC,TIPO_COMPRA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,61.31,6,TO BE DEFINED
2026-06-05 16:17 UTC,OBJETIVO_FUNNEL,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,61.31,6,TO BE DEFINED
2026-06-05 16:17 UTC,PROSPECTING_REMARKETING,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,100.0,1,TO BE DEFINED
2026-06-05 16:17 UTC,FORMATO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON, DATA_WASTE",TEXT,57.26,48,TO BE DEFINED
2026-06-05 16:17 UTC,INICIO_INFORME,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,57.44,271,TO BE DEFINED
2026-06-05 16:17 UTC,FIN_INFORME,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,57.44,268,TO BE DEFINED
2026-06-05 16:17 UTC,NOMBRE_CUENTA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,43.26,36,TO BE DEFINED
2026-06-05 16:17 UTC,NOMBRE_ANUNCIO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,61.31,759,TO BE DEFINED
