run_at,dataset_name,domain,database,schema,status,row_count,col_count,date_column,date_min,date_max,date_distinct_periods,temporal_gaps,grain_hint,best_detected_grain,grain_uniqueness_pct,dup_count,dup_pct,dq_rules_pass,dq_rules_fail,score_completeness,score_consistency,score_joinability,score_temporal,score_documentation,score_grain,enterprise_score,readiness_status
2026-06-05 16:17 UTC,DATA_MKT_ON,DATA_MKT_ON,PRD_MDP,MDP_DSP,OK,46642,77,ANIO,2024.0,2026.0,3,0,FECHA × MARCA × CAMPANA × MEDIO,CAMPANA × FECHA,5.94,43870,94.06,0,0,15,10,15,15,0,3,58,NOT READY
2026-06-05 16:17 UTC,DATA_WASTE,Waste / Merma,PRD_MDP,MDP_DSP,OK,7099255,14,ANIO,2021,2026,6,0,,SKU × FORMATO,0.47,7065766,99.53,0,0,15,10,25,15,0,3,68,CONDITIONAL
2026-06-05 16:17 UTC,DATA_MKT_OFF,DATA_MKT_OFF,PRD_MDP,MDP_DSP,OK,522003,102,ANIO,2024,2026,3,0,FECHA × MARCA × CAMPANA × MEDIO,MARCA × FECHA,3.55,503471,96.45,0,0,15,10,14,15,0,3,57,NOT READY
