run_at,target_dimension,column_normalized,column_original,dataset,sf_type,null_pct,distinct_count,is_pk_candidate,business_name,definition,is_business_key,suggested_role
2026-06-08 16:20 UTC,DIM_MARKETING,medio,MEDIO,DATA_MKT_ON,TEXT,0.0,8,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_BRAND,categoria,CATEGORIA,DATA_MKT_ON,TEXT,0.0,14,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,marca,MARCA,DATA_MKT_ON,TEXT,0.0,32,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_BRAND,marca,MARCA,DATA_MKT_ON,TEXT,0.0,32,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,campana,CAMPANA,DATA_MKT_ON,TEXT,0.14,133,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,anio,ANIO,DATA_MKT_ON,FLOAT,0.0,3,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,fecha,FECHA,DATA_MKT_ON,DATE,0.0,562,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,periodo,PERIODO,DATA_MKT_ON,TEXT,60.1,210,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,objetivo,OBJETIVO,DATA_MKT_ON,TEXT,61.31,6,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,formato,FORMATO,DATA_MKT_ON,TEXT,57.26,48,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,mes,MES,DATA_MKT_ON,TEXT,6.74,25,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_CUSTOMER,cadena,CADENA,DATA_MKT_ON,TEXT,93.26,15,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,upc,UPC,DATA_MKT_ON,TEXT,94.66,49,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,medio,MEDIO,DATA_MKT_OFF,TEXT,0.0,8,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_BRAND,categoria,CATEGORIA,DATA_MKT_OFF,TEXT,0.0,12,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,marca,MARCA,DATA_MKT_OFF,TEXT,0.0,101,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_BRAND,marca,MARCA,DATA_MKT_OFF,TEXT,0.0,101,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,campana,CAMPANA,DATA_MKT_OFF,TEXT,75.89,43,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,anio,ANIO,DATA_MKT_OFF,NUMBER,0.0,3,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,fecha,FECHA,DATA_MKT_OFF,DATE,0.0,829,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,mes,MES,DATA_MKT_OFF,TEXT,0.0,24,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,periodo,PERIODO,DATA_MKT_OFF,TEXT,100.0,1,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,objetivo,OBJETIVO,DATA_MKT_OFF,TEXT,100.0,1,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,formato,FORMATO,DATA_MKT_OFF,TEXT,100.0,1,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,anio,ANIO,DATA_WASTE,NUMBER,0.0,6,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,mes,MES,DATA_WASTE,NUMBER,0.0,12,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_CUSTOMER,cadena,CADENA,DATA_WASTE,TEXT,0.0,16,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,sku,SKU,DATA_WASTE,TEXT,0.0,1421,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,descripcion,DESCRIPCION,DATA_WASTE,TEXT,0.0,2287,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_PRODUCT,marca,MARCA,DATA_WASTE,TEXT,0.0,28,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_BRAND,marca,MARCA,DATA_WASTE,TEXT,0.0,28,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_CUSTOMER,canal,CANAL,DATA_WASTE,TEXT,0.0,4,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_DATE,fecha,FECHA,DATA_WASTE,DATE,0.0,64,False,,,False,ATTRIBUTE
2026-06-08 16:20 UTC,DIM_MARKETING,formato,FORMATO,DATA_WASTE,TEXT,0.0,98,False,,,False,ATTRIBUTE
