MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
Autoservicios Scanning Veracruz,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Area 6,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 2.2 Golfo,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 5,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 2.2 Golfo,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONALES GRANDES Y MINISUPERS TOTAL MEXICO,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Queretaro,EDP_NIELSEN,NEEDS_REVIEW
C. Moderno Area 5_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Oaxaca,PB_NIELSEN,NEEDS_REVIEW
Total Autos Puerto Vallarta,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Acapulco,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Los Cabos,PB_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 3,EDP_NIELSEN,NEEDS_REVIEW
MX TOTAL TRADICIONAL,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL TORREON,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL VILLAHERMOSA,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Surt. Completo Area 4,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Guadalajara Zona 1,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Tampico,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Mazatlan,PB_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 1,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Villahermosa,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 4,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 6,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 2.1 Continental,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Morelia,EDP_NIELSEN,NEEDS_REVIEW
Total _Area 5,EDP_NIELSEN,NEEDS_REVIEW
Grandes Cadenas De Autoservicio Area 3_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 2,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Queretaro,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Playa Del Carmen,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Ensenada,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Toluca,PB_NIELSEN,NEEDS_REVIEW
Total Autos Saltillo,PB_NIELSEN,NEEDS_REVIEW
Total _Area 3,EDP_NIELSEN,NEEDS_REVIEW
Moderno Monterrey_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Parral + Camargo,PB_NIELSEN,NEEDS_REVIEW
