COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,ORDINAL_POSITION
ADR_STR_NUM,TEXT,100,YES,117
ADR_STR_ADD_NUM,TEXT,100,YES,118
ADR_RGN_DSC,TEXT,100,YES,119
TEL_NUM,TEXT,90,YES,120
TEL_NUM2,TEXT,90,YES,121
CUS_DFT_PAY_MET_COD,TEXT,100,YES,122
EML_COD,TEXT,723,YES,123
CUS_FIS_ADR,TEXT,200,YES,124
CUS_CRE_DAT,TEXT,16777216,YES,125
CUS_END_DAT,TEXT,16777216,YES,126
STAT_COD,TEXT,50,YES,127
T_REC_CRE_DAT,TIMESTAMP_TZ,,YES,128
CUS_UNI_COD,NUMBER,,YES,129
CUS_CSL_GRP,TEXT,200,YES,130
CUS_CHL_DSC_EXT,TEXT,100,YES,131
CUS_GRN_CHL_DSC_EXT,TEXT,100,YES,132
CUS_CHN_UNI_DSC_EXT,TEXT,150,YES,133
CUS_CHL_ARE_DSC_EXT,TEXT,100,YES,134
CUS_SAL_RGN_DSC_EXT,TEXT,100,YES,135
CUS_SAL_BLK_COD,TEXT,200,YES,136
CUS_SAL_ORD_BLK_FLG,TEXT,16777216,YES,137
CUS_ATT_8TH_COD,TEXT,16777216,YES,138
CUS_CADENA_IDT,TEXT,14,YES,139
CUS_CADENA_DSC,TEXT,200,YES,140
CUS_PRC_PRO_COD,TEXT,5,YES,141
