SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752680919,752680919,UTT,3860 BA ZARAGOZA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118857
752681141,752681141,UTT,5710 BA SAN FCO DEL RINCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118719
752682149,752682149,UTT,4109 SC PLAZA CHICOLOAPAN PUERTA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118710
752682058,752682058,UTT,2356 SC QUERETARO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118644
752681217,752681217,UTT,1087 BA SAHUAYO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118584
752682081,752682081,UTT,3113 SC NILO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118392
752682078,752682078,UTT,2219 SC JOROBAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,118389
752682001,752682001,UTT,1509 SC 15 DE MAYO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117852
752680934,752680934,UTT,3783 BA SANTA CLARA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117759
752682026,752682026,UTT,5469 SC RIO DE LOS REMEDIOS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117639
752681001,752681001,UTT,3865 BA VILLA ASUNCION,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117381
752682062,752682062,UTT,2733 SC PONIENTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117381
752681132,752681132,UTT,3722 BA TULANCINGO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117264
752682137,752682137,UTT,4139 SC CAMPECHE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,117063
752680977,752680977,UTT,3782 BA CENTENARIO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116820
752680952,752680952,UTT,3756 BA TLALNEPANTLA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116775
752680908,752680908,UTT,3767 BA PACHUCA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116439
752682039,752682039,UTT,3504 SC AV JESUS DEL MONTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116352
752681061,752681061,UTT,3918 BA SALAMANCA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116316
752680983,752680983,UTT,3804 BA HILARIO MEDINA LEON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,116097
752681339,752681339,UTT,3291 BA SALAMANCA SUR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,115572
752682077,752682077,UTT,2732 SC HOSPITAL GENERAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,115245
752681322,752681322,UTT,2808 BA CUAUTLANCINGO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,114795
752681060,752681060,UTT,3920 BA 8 DE JULIO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,114774
752680979,752680979,UTT,3808 BA BOLIVAR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,114693
752681289,752681289,UTT,7458 BA CEDIS CULIACAN PERECEDEROS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,114549
752681169,752681169,UTT,5750 BA MIRAMAR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,114378
