SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752681082,752681082,UTT,3743 BA TULA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,160014
752682101,752682101,UTT,1489 SC HIPERPLAZA TEXCOCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,159813
752682059,752682059,UTT,2463 SC VERACRUZ,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,159234
752682212,752682212,UTT,1022 SC LOPEZ MATEOS SUR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,157836
752682215,752682215,UTT,5855 SC LAS ALAMEDAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,156726
752680921,752680921,UTT,3761 BA TULYEHUALCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,154485
752680972,752680972,UTT,3751 BA INSURGENTES SUR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,154101
752682123,752682123,UTT,3853 SC SAN MANUEL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,153795
752682008,752682008,UTT,3845 SC UNIVERSIDAD,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,153375
752681135,752681135,UTT,3523 BA NUEVA KUKULCAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,152403
752681948,752681948,UTT,3847 SC SATELITE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,151581
752682879,752682879,UTT,7 ELEVEN CEDIS MEXICO,Z001,TDC,ZMXY,TDC,ZMX06,970-Conveniencia,#,#,#,#,151431
752682211,752682211,UTT,1044 SC SAN MARCOS (IZCALLI),Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,151347
752680931,752680931,UTT,3777 BA VALLE DE ARAGON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,151191
752682222,752682222,UTT,3721 SC AVILA CAMACHO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,150633
752681166,752681166,UTT,5813 BA LA PAZ,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,150486
752682043,752682043,UTT,2342 SC VALLARTA GDL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,150273
752682132,752682132,UTT,4157 SC PERIFERICO CUAUTITLAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,149694
752682214,752682214,UTT,5825 SC ALFREDO DEL MAZO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,149025
752681050,752681050,UTT,3916 BA IZTAPALAPA NORTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,148911
752680960,752680960,UTT,3784 BA 1 DE MAYO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,148806
752680933,752680933,UTT,3753 BA PLAZA ARAGON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,148647
752681467,752681467,UTT,2099 BA CORTAZAR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,148278
752680957,752680957,UTT,2525 BA RIO HONDO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,147531
752681498,752681498,UTT,7495 BAE CEDIS GUADALAJARA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,147360
752681263,752681263,UTT,2038 BA SILAO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,146931
752682007,752682007,UTT,2670 SC TLALPAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,146238
752681134,752681134,UTT,3727 BA TULIPANES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,145800
752680984,752680984,UTT,3867 BA IRAPUATO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,145428
752681196,752681196,UTT,1017 BA MERIDA 1 (QUETZALCOATL),Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,145326
752680920,752680920,UTT,3760 BA LOMAS ESTRELLA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,144366
752680981,752680981,UTT,3805 BA SANTA LUCIA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,144102
752680929,752680929,UTT,3797 BA CABEZA DE JUAREZ,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,144018
752681167,752681167,UTT,5733 BA PLAZA CHIMALHUAC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,143496
752682202,752682202,UTT,3747 SC EL PITILLAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,143088
752680949,752680949,UTT,3772 BA PLAZA ATIZAPAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142938
752680965,752680965,UTT,3874 BA CANTIL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142929
752682035,752682035,UTT,3878 SC NINO OBRERO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142485
752682159,752682159,UTT,3031 SC IRRIGACION,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142482
752680950,752680950,UTT,3763 BA MARIANO ESCOBEDO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142443
752681185,752681185,UTT,1201 BA SAN AGUSTIN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,142422
752681457,752681457,UTT,3020 BA XALOSTOC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,141282
752680951,752680951,UTT,3752 BA VALLEJO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,141138
752680926,752680926,UTT,3775 BA LA AURORA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,140865
752680953,752680953,UTT,3787 BA CUAUTITLANIZCAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,140355
752681950,752681950,UTT,3854 SC PIRULES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,140277
