name,source,formula,unit,grain,registered_at
roas_gross,SELL_OUT+INVESTMENT,"so_revenue_mxn / inv_total_mxn (Danone only, guarded)",MXN revenue per MXN invested,fecha_month x marca_std x canal_std x cadena_std,2026-06-27 22:39:55
data_confidence,ALL_SOURCES,HIGH(all sources) | MEDIUM(sell_out only) | LOW(no sell_out),level,fecha_month x marca_std x canal_std x cadena_std,2026-06-27 22:39:55
