mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Total Autos Oaxaca,TOTAL AUTOS OAXACA,027393339b828c49,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,OAXACA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Poza Rica,TOTAL AUTOS POZA RICA,3a090c27d956a034,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,POZA RICA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Area 4,TOTAL AUTOS AREA 4,2e3b981079d1fe7e,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cancun,TOTAL AUTOS CANCUN,b5d27461d6e1485a,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CANCUN,,NO,NO,PB,YES,CONFIRMED,
Total Autos Area 2,TOTAL AUTOS AREA 2,679d311aee958f7b,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,,NO,NO,PB,YES,CONFIRMED,
Total Autos VDM,TOTAL AUTOS VDM,aee23e7f7964f733,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,VDM,VDM,,NO,NO,PB,YES,CONFIRMED,
Total Autos Toluca,TOTAL AUTOS TOLUCA,167b070a591df86c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TOLUCA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Veracruz,TOTAL AUTOS VERACRUZ,596e0637b0388eed,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,VERACRUZ,,NO,NO,PB,YES,CONFIRMED,
Total Autos Durango,TOTAL AUTOS DURANGO,632e644cf8c3f02a,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,DURANGO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Culiacan,TOTAL AUTOS CULIACAN,329517a51ee8d0d4,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CULIACAN,,NO,NO,PB,YES,CONFIRMED,
Total Autos Mazatlan,TOTAL AUTOS MAZATLAN,1306d527b688d155,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MAZATLAN,,NO,NO,PB,YES,CONFIRMED,
Total Autos Merida,TOTAL AUTOS MERIDA,5a26afaf03933cc6,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MERIDA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cuernavaca,TOTAL AUTOS CUERNAVACA,b3cb9c2af12afe84,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CUERNAVACA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Hermosillo,TOTAL AUTOS HERMOSILLO,874426cd9ec3e148,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,HERMOSILLO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Matamoros,TOTAL AUTOS MATAMOROS,031f04cf4f07b8c7,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MATAMOROS,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tampico,TOTAL AUTOS TAMPICO,e416712d41e46aa5,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TAMPICO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Morelia,TOTAL AUTOS MORELIA,46a1ce2ce6c5ac98,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MORELIA,,NO,NO,PB,YES,CONFIRMED,
Total Autos La Paz,TOTAL AUTOS LA PAZ,f12b32a284bfdcce,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,LA PAZ,,NO,NO,PB,YES,CONFIRMED,
