mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Autoservicios Scanning Mazatlan,AUTOSERVICIOS SCANNING MAZATLAN,e1f65c2b78a10a23,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MAZATLAN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Mexicali,AUTOSERVICIOS SCANNING MEXICALI,0ff3927b8a859b5d,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MEXICALI,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Merida,AUTOSERVICIOS SCANNING MERIDA,9444cd6e1e45dd5b,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MERIDA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Queretaro,AUTOSERVICIOS SCANNING QUERETARO,bd83b9409bcf16d9,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,QUERETARO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Culiacan,AUTOSERVICIOS SCANNING CULIACAN,835114b0d702fa99,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CULIACAN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Saltillo,AUTOSERVICIOS SCANNING SALTILLO,9c796bb64c28d77e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SALTILLO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Esencial Total Mexico,AUTOSERVICIOS SURT. ESENCIAL TOTAL MEXICO,eadbb4258cdac639,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,,YES,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Total Autos Parral + Camargo_MT,TOTAL AUTOS PARRAL + CAMARGO_MT,f0a41007da68498e,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,PARRAL + CAMARGO,,NO,NO,PB,YES,CONFIRMED,
Autoservicios Scanning Veracruz,AUTOSERVICIOS SCANNING VERACRUZ,c8bfee5f4df84b04,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,VERACRUZ,,NO,YES,PB,YES,CONFIRMED,
Autos Scanning Area 2,AUTOS SCANNING AREA 2,8a4332c5907a5b22,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_2,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autos Scanning Area 6,AUTOS SCANNING AREA 6,98e2798ea10711cf,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_6,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autos Scanning Areas 1 + 2,AUTOS SCANNING AREAS 1 + 2,346fc67401bc2d78,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_1_2,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Coatzacoalcos,AUTOSERVICIOS SCANNING COATZACOALCOS,d7259c16b1789d4a,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,COATZACOALCOS,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Monterrey,AUTOSERVICIOS SCANNING MONTERREY,8289c5d61443db3c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MONTERREY,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Extendido Area 6,AUTOSERVICIOS SURT. EXTENDIDO AREA 6,ea8c6f0392b1dca4,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Nogales,AUTOSERVICIOS SCANNING NOGALES,f19e7a3b6659e9bc,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,NOGALES,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Guadalajara,AUTOSERVICIOS SCANNING GUADALAJARA,5a09ede3609a69ca,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,GUADALAJARA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Tampico,AUTOSERVICIOS SCANNING TAMPICO,444735e7e4be01ea,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TAMPICO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Extendido Area 1,AUTOSERVICIOS SURT. EXTENDIDO AREA 1,7fc18d6d2989e9e6,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Xalapa,AUTOSERVICIOS SCANNING XALAPA,b445352e7932e19f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,XALAPA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Los Cabos,AUTOSERVICIOS SCANNING LOS CABOS,01f997a162b3840f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LOS CABOS,,NO,YES,PB,YES,CONFIRMED,
Autos Scanning Areas 3 + 4 + 5 +6,AUTOS SCANNING AREAS 3 + 4 + 5 +6,b1e1646889572c1b,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_3_6,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cuernavaca,AUTOSERVICIOS SCANNING CUERNAVACA,33e13807bcf2bee7,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CUERNAVACA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Leon,AUTOSERVICIOS SCANNING LEON,a14aeda15abe4f26,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LEON,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Extendido Area 4,AUTOSERVICIOS SURT. EXTENDIDO AREA 4,3a888f81ab8d5cac,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autos Scanning Area 3,AUTOS SCANNING AREA 3,25fc018609f442b8,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_3,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Ahome,AUTOSERVICIOS SCANNING AHOME,0908d2ee4311cca8,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,AHOME,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Tijuana,AUTOSERVICIOS SCANNING TIJUANA,4221ea9feb89db0c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TIJUANA,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Total Autos Baja California_MT,TOTAL AUTOS BAJA CALIFORNIA_MT,38f8c8e5affaee6d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,BAJA CALIFORNIA,,NO,NO,PB,YES,CONFIRMED,
Autoservicios Surt. Completo Area 2,AUTOSERVICIOS SURT. COMPLETO AREA 2,cb04cb8449a449ff,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Torreon,AUTOSERVICIOS SCANNING TORREON,6c208f554d681e4f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TORREON,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Tuxtla Gutierrez,AUTOSERVICIOS SCANNING TUXTLA GUTIERREZ,bbec0078045ae641,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TUXTLA GUTIERREZ,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Morelia,AUTOSERVICIOS SCANNING MORELIA,84b8dc313d7a86eb,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MORELIA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Puerto Vallarta,AUTOSERVICIOS SCANNING PUERTO VALLARTA,7e3bc448eb667e6f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PUERTO VALLARTA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Extendido Total Mexico,AUTOSERVICIOS SURT. EXTENDIDO TOTAL MEXICO,bdd6e494dfc61f83,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,,YES,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning San Luis Potosi,AUTOSERVICIOS SCANNING SAN LUIS POTOSI,9d73d1b213e07ca6,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SAN LUIS POTOSI,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Nuevo Laredo,AUTOSERVICIOS SCANNING NUEVO LAREDO,80215ef91f8a3f33,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,NUEVO LAREDO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Delicias,AUTOSERVICIOS SCANNING DELICIAS,28059767d6406325,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,DELICIAS,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Poza Rica,AUTOSERVICIOS SCANNING POZA RICA,b96edbbfeb2f96b3,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,POZA RICA,,NO,YES,PB,YES,CONFIRMED,
Autos Scanning Total Mexico,AUTOS SCANNING TOTAL MEXICO,96d8ca0e614ab47e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,,YES,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autos Scanning Area 1,AUTOS SCANNING AREA 1,a962cc6d2ff10136,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_1,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Tepic,AUTOSERVICIOS SCANNING TEPIC,ab1fb13b1739e334,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TEPIC,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Chihuahua,AUTOSERVICIOS SCANNING CHIHUAHUA,c56479fd1cda9472,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CHIHUAHUA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cd. Obregon,AUTOSERVICIOS SCANNING CD. OBREGON,ad79e6d8c7edaafc,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD OBREGON,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Completo Area 6,AUTOSERVICIOS SURT. COMPLETO AREA 6,c7e6cf604f97a65a,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Completo Total Mexico,AUTOSERVICIOS SURT. COMPLETO TOTAL MEXICO,e808b79ba9524848,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,,YES,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Puebla,AUTOSERVICIOS SCANNING PUEBLA,0d4a1617feca1a92,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PUEBLA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Hermosillo,AUTOSERVICIOS SCANNING HERMOSILLO,6a458c14011b46b6,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,HERMOSILLO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Irapuato,AUTOSERVICIOS SCANNING IRAPUATO,0e9f49497d516bc1,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,IRAPUATO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Aguascalientes,AUTOSERVICIOS SCANNING AGUASCALIENTES,4e650d1ec04c813c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,AGUASCALIENTES,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Esencial Area 4,AUTOSERVICIOS SURT. ESENCIAL AREA 4,75e17ba595b27b9d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Extendido Area 3,AUTOSERVICIOS SURT. EXTENDIDO AREA 3,0d0d8e209c35f07c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autos Scanning Area 5,AUTOS SCANNING AREA 5,5aa4d8334804da57,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_5,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Esencial Area 6,AUTOSERVICIOS SURT. ESENCIAL AREA 6,2f3d8c6bbd5d6e57,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Cd. del Carmen,AUTOSERVICIOS SCANNING CD. DEL CARMEN,a8320bdaf23009cf,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD DEL CARMEN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Monclova,AUTOSERVICIOS SCANNING MONCLOVA,863408890d79e4c1,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MONCLOVA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cd. Valles,AUTOSERVICIOS SCANNING CD. VALLES,5eba78137984d688,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD VALLES,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Guaymas,AUTOSERVICIOS SCANNING GUAYMAS,11a33d66de0c4949,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,GUAYMAS,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Toluca,AUTOSERVICIOS SCANNING TOLUCA,bd577e6221ca334b,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TOLUCA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cd. Cuauhtemoc,AUTOSERVICIOS SCANNING CD. CUAUHTEMOC,cbcd7bdac766748d,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD CUAUHTEMOC,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Tecate,AUTOSERVICIOS SCANNING TECATE,cc923445a5b6f36e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TECATE,,NO,YES,PB,YES,CONFIRMED,
