"""market_id""",MRKT_DSC_SHRT,"""hierarchy_level""","""hierarchy_number""","""hierarchy_name""","""hierarchy_column""",nielsen_source_cbu,mrkt_key,canal_std_m1,region_std_m1,mapping_status,channel_standard,gran_canal_grp,chain_standard,format_standard,canal_std,region_std
20268816,Autoservicios Jalapa,,,,,EDP_NIELSEN,AUTOSERVICIOS JALAPA,AUTOSERVICIO,JALAPA,CONFIRMED,MODERNO,UTT,,,MODERNO,JALAPA
20268779,Autoservicios La Paz,,,,,EDP_NIELSEN,AUTOSERVICIOS LA PAZ,AUTOSERVICIO,LA PAZ,CONFIRMED,MODERNO,UTT,,,MODERNO,LA PAZ
20268796,Autoservicios Leon,,,,,EDP_NIELSEN,AUTOSERVICIOS LEON,AUTOSERVICIO,LEON,CONFIRMED,MODERNO,UTT,,,MODERNO,LEON
20268780,Autoservicios Los Cabos,,,,,EDP_NIELSEN,AUTOSERVICIOS LOS CABOS,AUTOSERVICIO,LOS CABOS,CONFIRMED,MODERNO,UTT,,,MODERNO,LOS CABOS
20268759,Autoservicios Matamoros,,,,,EDP_NIELSEN,AUTOSERVICIOS MATAMOROS,AUTOSERVICIO,MATAMOROS,CONFIRMED,MODERNO,UTT,,,MODERNO,MATAMOROS
20266631,Autoservicios Mayoristas Area 4,,,,,EDP_NIELSEN,AUTOSERVICIOS MAYORISTAS AREA 4,AUTOSERVICIOS_MAYORISTAS,AREA_4,CONFIRMED,,,,,,AREA_4
20266634,Autoservicios Mayoristas Area 6,,,,,EDP_NIELSEN,AUTOSERVICIOS MAYORISTAS AREA 6,AUTOSERVICIOS_MAYORISTAS,AREA_6,CONFIRMED,,,,,,AREA_6
20266696,Autoservicios Mayoristas Monterrey,,,,,EDP_NIELSEN,AUTOSERVICIOS MAYORISTAS MONTERREY,AUTOSERVICIOS_MAYORISTAS,MONTERREY,CONFIRMED,,,,,,MONTERREY
20266630,Autoservicios Mayoristas Total Mexico,,,,,EDP_NIELSEN,AUTOSERVICIOS MAYORISTAS TOTAL MEXICO,AUTOSERVICIOS_MAYORISTAS,TOTAL_MEXICO,CONFIRMED,,,,,,TOTAL_MEXICO
20268786,Autoservicios Mazatlan,,,,,EDP_NIELSEN,AUTOSERVICIOS MAZATLAN,AUTOSERVICIO,MAZATLAN,CONFIRMED,MODERNO,UTT,,,MODERNO,MAZATLAN
20268803,Autoservicios Merida,,,,,EDP_NIELSEN,AUTOSERVICIOS MERIDA,AUTOSERVICIO,MERIDA,CONFIRMED,MODERNO,UTT,,,MODERNO,MERIDA
20268764,Autoservicios Mexicali,,,,,EDP_NIELSEN,AUTOSERVICIOS MEXICALI,AUTOSERVICIO,MEXICALI,CONFIRMED,MODERNO,UTT,,,MODERNO,MEXICALI
20268787,Autoservicios Minatitlan,,,,,EDP_NIELSEN,AUTOSERVICIOS MINATITLAN,AUTOSERVICIO,MINATITLAN,CONFIRMED,MODERNO,UTT,,,MODERNO,MINATITLAN
20268802,Autoservicios Monclova,,,,,EDP_NIELSEN,AUTOSERVICIOS MONCLOVA,AUTOSERVICIO,MONCLOVA,CONFIRMED,MODERNO,UTT,,,MODERNO,MONCLOVA
20268785,Autoservicios Monterrey,,,,,EDP_NIELSEN,AUTOSERVICIOS MONTERREY,AUTOSERVICIO,MONTERREY,CONFIRMED,MODERNO,UTT,,,MODERNO,MONTERREY
20268770,Autoservicios Morelia,,,,,EDP_NIELSEN,AUTOSERVICIOS MORELIA,AUTOSERVICIO,MORELIA,CONFIRMED,MODERNO,UTT,,,MODERNO,MORELIA
20268777,Autoservicios Nogales,,,,,EDP_NIELSEN,AUTOSERVICIOS NOGALES,AUTOSERVICIO,NOGALES,CONFIRMED,MODERNO,UTT,,,MODERNO,NOGALES
20268758,Autoservicios Nuevo Laredo,,,,,EDP_NIELSEN,AUTOSERVICIOS NUEVO LAREDO,AUTOSERVICIO,NUEVO LAREDO,CONFIRMED,MODERNO,UTT,,,MODERNO,NUEVO LAREDO
20268760,Autoservicios Oaxaca,,,,,EDP_NIELSEN,AUTOSERVICIOS OAXACA,AUTOSERVICIO,OAXACA,CONFIRMED,MODERNO,UTT,,,MODERNO,OAXACA
20268797,Autoservicios Orizaba,,,,,EDP_NIELSEN,AUTOSERVICIOS ORIZABA,AUTOSERVICIO,ORIZABA,CONFIRMED,MODERNO,UTT,,,MODERNO,ORIZABA
20268795,Autoservicios Piedras Negras,,,,,EDP_NIELSEN,AUTOSERVICIOS PIEDRAS NEGRAS,AUTOSERVICIO,PIEDRAS NEGRAS,CONFIRMED,MODERNO,UTT,,,MODERNO,PIEDRAS NEGRAS
20268789,Autoservicios Playa Del Carmen,,,,,EDP_NIELSEN,AUTOSERVICIOS PLAYA DEL CARMEN,AUTOSERVICIO,PLAYA DEL CARMEN,CONFIRMED,MODERNO,UTT,,,MODERNO,PLAYA DEL CARMEN
20268763,Autoservicios Poza Rica,,,,,EDP_NIELSEN,AUTOSERVICIOS POZA RICA,AUTOSERVICIO,POZA RICA,CONFIRMED,MODERNO,UTT,,,MODERNO,POZA RICA
20268790,Autoservicios Puebla,,,,,EDP_NIELSEN,AUTOSERVICIOS PUEBLA,AUTOSERVICIO,PUEBLA,CONFIRMED,MODERNO,UTT,,,MODERNO,PUEBLA
20268800,Autoservicios Puerto Vallarta,,,,,EDP_NIELSEN,AUTOSERVICIOS PUERTO VALLARTA,AUTOSERVICIO,PUERTO VALLARTA,CONFIRMED,MODERNO,UTT,,,MODERNO,PUERTO VALLARTA
20268791,Autoservicios Queretaro,,,,,EDP_NIELSEN,AUTOSERVICIOS QUERETARO,AUTOSERVICIO,QUERETARO,CONFIRMED,MODERNO,UTT,,,MODERNO,QUERETARO
20268815,Autoservicios Reynosa,,,,,EDP_NIELSEN,AUTOSERVICIOS REYNOSA,AUTOSERVICIO,REYNOSA,CONFIRMED,MODERNO,UTT,,,MODERNO,REYNOSA
20268812,Autoservicios Saltillo,,,,,EDP_NIELSEN,AUTOSERVICIOS SALTILLO,AUTOSERVICIO,SALTILLO,CONFIRMED,MODERNO,UTT,,,MODERNO,SALTILLO
20268805,Autoservicios San Luis Potosi,,,,,EDP_NIELSEN,AUTOSERVICIOS SAN LUIS POTOSI,AUTOSERVICIO,SAN LUIS POTOSI,CONFIRMED,MODERNO,UTT,,,MODERNO,SAN LUIS POTOSI
20239163,Autoservicios Scanning Acapulco,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING ACAPULCO,AUTOSERVICIO_SCANNING,ACAPULCO,CONFIRMED,MODERNO,UTT,,,MODERNO,ACAPULCO
20239162,Autoservicios Scanning Aguascalientes,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING AGUASCALIENTES,AUTOSERVICIO_SCANNING,AGUASCALIENTES,CONFIRMED,MODERNO,UTT,,,MODERNO,AGUASCALIENTES
20239241,Autoservicios Scanning Ahome,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING AHOME,AUTOSERVICIO_SCANNING,AHOME,CONFIRMED,MODERNO,UTT,,,MODERNO,AHOME
20239181,Autoservicios Scanning Campeche,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CAMPECHE,AUTOSERVICIO_SCANNING,CAMPECHE,CONFIRMED,MODERNO,UTT,,,MODERNO,CAMPECHE
20239267,Autoservicios Scanning Cancun,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CANCUN,AUTOSERVICIO_SCANNING,CANCUN,CONFIRMED,MODERNO,UTT,,,MODERNO,CANCUN
20243227,Autoservicios Scanning Cd. Cuauhtemoc,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CD. CUAUHTEMOC,AUTOSERVICIO_SCANNING,CD CUAUHTEMOC,CONFIRMED,MODERNO,UTT,,,MODERNO,CD CUAUHTEMOC
20239194,Autoservicios Scanning Cd. Obregon,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CD. OBREGON,AUTOSERVICIO_SCANNING,CD OBREGON,CONFIRMED,MODERNO,UTT,,,MODERNO,CD OBREGON
20243222,Autoservicios Scanning Cd. Valles,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CD. VALLES,AUTOSERVICIO_SCANNING,CD VALLES,CONFIRMED,MODERNO,UTT,,,MODERNO,CD VALLES
20239268,Autoservicios Scanning Cd. del Carmen,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CD. DEL CARMEN,AUTOSERVICIO_SCANNING,CD DEL CARMEN,CONFIRMED,MODERNO,UTT,,,MODERNO,CD DEL CARMEN
20239225,Autoservicios Scanning Chihuahua,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CHIHUAHUA,AUTOSERVICIO_SCANNING,CHIHUAHUA,CONFIRMED,MODERNO,UTT,,,MODERNO,CHIHUAHUA
20239200,Autoservicios Scanning Coatzacoalcos,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING COATZACOALCOS,AUTOSERVICIO_SCANNING,COATZACOALCOS,CONFIRMED,MODERNO,UTT,,,MODERNO,COATZACOALCOS
