INT_ID,IMPORT_ID,SO_NAME,SO_BRAND,CBU_ID,match_priority,match_method,match_confidence,review_status
20758104005721,20758104005721,AGUA NATURAL CON SABOR PINA COCO 600MLX12PK 144,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
7929800011,792980001,AGUA NATURAL / EVIAN / NATURAL / 24PZ / 0.33LT / 7.92LT,EVIAN,3,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400854,75810400854,12/1LT BNF LEVITE PEP-LIM/FRUT-ROJOS,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
1075810400257,1075810400257,AGUA SABOR / BONAFONT C/JUGO / NARANJA / 1PZ / 0.5LT / .5L,JUIZZY,2,3,UNMATCHED,0.0,NEEDS_REVIEW
40009575690,40009575690,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009575690,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
7504701,7504701,AGUA SABOR / BONAFONT C/JUGO / FRESA / 1PZ / 0.3LT / 0.3LTS,BONAFONT KIDS,2,3,UNMATCHED,0.0,NEEDS_REVIEW
758104005215,75810400521,Envase 11L Bonafont,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
1563221997,1563221997,levite bonafont juizzy agua piña x2,JUIZZY,2,3,UNMATCHED,0.0,NEEDS_REVIEW
758104000401,75810400040,AGUA MINERAL / BONAFONT MINERALIZADA / 1PZ / 0.355LT / 0.355LT,BONAFONT MINERAL,2,3,UNMATCHED,0.0,NEEDS_REVIEW
400095429784,40009542978,BONAFONT AGUA NATURAL NATURAL 20 LT GARR F,BEC,2,3,UNMATCHED,0.0,NEEDS_REVIEW
7874208461,7874208461,AGUA NATURAL / MEMBERS MARK / 18PZ / 1LT / 18LT,OTROS,3,3,UNMATCHED,0.0,NEEDS_REVIEW
376760,376760,BASURA SAMS 6/600ML AGUA MINERAL,BONAFONT,3,3,UNMATCHED,0.0,NEEDS_REVIEW
999991707631,999991707631,BONAFONT AGUA NATURAL NATURAL 11 LT GARR Z,BONAFONT,3,3,UNMATCHED,0.0,NEEDS_REVIEW
40009575756,40009575756,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009575756,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104007332,75810400733,AGUA SABOR / LEVITE / LIMON CHIA / 0.400 L / 1 PZ / 0.4 L,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104003617,75810400361,AGUA SABOR / LEVITE / SURTIDO / 6PZ / multi1.5LT / 9LT,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104001446,75810400144,Bonafont MP 6 x 1 L,BONAFONT,2,3,UNMATCHED,0.0,NEEDS_REVIEW
1563818869,1563818869,2 x levite agua infusionada sabor a pepino limon,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
25293002913,2529300291,SILK ALM VAIN S/A 5676ML (6X946) PLAN 60,SILK,1,3,UNMATCHED,0.0,NEEDS_REVIEW
