cardinality_class,column_name,distinct_values,null_count,total_count
CANAL_CANDIDATE,CBU,3.000000000000000000,0E-18,7085107.000000000000000000
CANAL_CANDIDATE,SAL_ORG_COD,5.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_ACC_GRP_COD,16.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_IDT,5110767.000000000000000000,0E-18,7085107.000000000000000000
TOO_GRANULAR,CUS_NAM_DSC,2132384.000000000000000000,0E-18,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRN_CHL_DSC,4.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRN_CHL_ANT_DSC,4.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_CHL_DSC,16.000000000000000000,2202200.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_CHL_ANT_DSC,15.000000000000000000,2202200.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CBU_DIS_GRP_COD,3.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_IND_COD,58.000000000000000000,0E-18,7085107.000000000000000000
CADENA_CANDIDATE,CUS_IND_DSC,27.000000000000000000,115175.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_1ST_IND_COD,119.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_1ST_IND_DSC,118.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_2ND_IND_COD,115.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_2ND_IND_DSC,114.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_3RD_IND_COD,122.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_3RD_IND_DSC,122.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_4TH_IND_COD,118.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
