mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Autoservicios Scanning Veracruz,AUTOSERVICIOS SCANNING VERACRUZ,d5cffa96eab8a2ce,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,VERACRUZ,VERACRUZ,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Cozumel,AUTOSERVICIOS SCANNING COZUMEL,f3199afba37406e7,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,COZUMEL,COZUMEL,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Orizaba,AUTOSERVICIOS SCANNING ORIZABA,f2d18d8c98dfeab6,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ORIZABA,ORIZABA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Merida,AUTOSERVICIOS SCANNING MERIDA,101254f880a74d3f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MERIDA,MERIDA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning La Paz,AUTOSERVICIOS SCANNING LA PAZ,2f3f0c0b0d82bd97,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LA PAZ,LA PAZ,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Tijuana,AUTOSERVICIOS SCANNING TIJUANA,a94f20f06991ad0c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TIJUANA,TIJUANA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Queretaro,AUTOSERVICIOS SCANNING QUERETARO,bd8d65f56407a638,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,QUERETARO,QUERETARO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Poza Rica,AUTOSERVICIOS SCANNING POZA RICA,31ff818371806324,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,POZA RICA,POZA RICA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Area 1,AUTOS SCANNING AREA 1,091234c9000b631f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_1,AREA_1,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Total Mexico,AUTOSERVICIOS SURT. ESENCIAL TOTAL MEXICO,3c6db2bb37440470,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,YES,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
