RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
TUBIX,TUBIX,14,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ELI,ELI,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ROSITA,ROSITA,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PALMALAC,PALMALAC,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LACTIGURT,LACTIGURT,41,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHIQUITIN,CHIQUITIN,53,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TIA VICKY,TIA VICKY,31,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALDAMA,ALDAMA,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHIA MIA,CHIA MIA,20,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NESQUIK,NESQUIK,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TEMAZCAL,TEMAZCAL,32,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHILCHOTA,CHILCHOTA,143,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEON,LEON,46,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DELIGHURT,DELIGHURT,34,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VITALINEA,VITALINEA,131,INP_56985,NIELSEN_EDP,VITALINEA,DANONE,CONFIRMED
DIVERTIGELL,DIVERTIGELL,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOFUL,SOFUL,82,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALMAGUER,ALMAGUER,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BREAK,BREAK,32,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YAQUI,YAQUI,23,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOGU,YOGU,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FORTI,FORTI,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FLANBY,FLANBY,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BAD MOOD,BAD MOOD,14,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SIERRA VERDE,SIERRA VERDE,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LONCH EXPRESS,LONCH EXPRESS,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PROLEUKIN,PROLEUKIN,13,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA ABUELA,LA ABUELA,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA LECHERA,LA LECHERA,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OIKOS,OIKOS,237,INP_56985,NIELSEN_EDP,OIKOS,DANONE,CONFIRMED
BAMBI,BAMBI,73,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DANONE,DANONE,682,INP_56985,NIELSEN_EDP,DANONE,DANONE,CONFIRMED
ACTIMEL,ACTIMEL,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LYNCOTT,LYNCOTT,33,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIVENDI,VIVENDI,22,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FAGE,FAGE,117,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CREMERIA CHALCO,CREMERIA CHALCO,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEOLI,LEOLI,35,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATURLICH,NATURLICH,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTE,SANTE,19,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIO 4,BIO 4,46,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SAN JUAN,SAN JUAN,34,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
QUALITA FOODS,QUALITA FOODS,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
D'GARI,D'GARI,39,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EL ACICATE,EL ACICATE,25,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GERBER,GERBER,16,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOCREME,YOCREME,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA QUESERA DE SALAMANCA,LA QUESERA DE SALAMANCA,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DONA PINTA,DONA PINTA,14,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
XCULT,XCULT,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KOURELLAS,KOURELLAS,13,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALPURA,ALPURA,417,INP_56985,NIELSEN_EDP,ALPURA,COMPETITOR,CONFIRMED
CHOBANI,CHOBANI,345,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DAN MIX,DAN MIX,48,INP_56985,NIELSEN_EDP,DANMIX,DANONE,CONFIRMED
DANY,DANY,150,INP_56985,NIELSEN_EDP,DANY,DANONE,CONFIRMED
MARUSIA,MARUSIA,116,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIRY,VIRY,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONTA DIVINA,BONTA DIVINA,18,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PL,PL,278,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABOR DEL HOGAR,SABOR DEL HOGAR,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LACTEOS MOJICA,LACTEOS MOJICA,19,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TUBAZO,TUBAZO,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
QUERETARO,QUERETARO,37,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DALUH,DALUH,36,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LIZETH,LIZETH,29,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SILK,SILK,42,INP_56985,NIELSEN_EDP,SILK,DANONE,CONFIRMED
BAKER'S BITES,BAKER'S BITES,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BOVE,BOVE,70,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
