RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
MANZANITA,MANZANITA,4447,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOPLAIT_KIDS,YOPLAIT_KIDS,1297,MARCA,MKT_OFF,YOPLAIT,COMPETITOR,CONFIRMED
JUMEX_FRUTZZO,JUMEX_FRUTZZO,3645,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
LALA_MAESTROS,LALA_MAESTROS,207,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
ALPURA,ALPURA,8433,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
BODEGAAURRERA,BODEGAAURRERA,1,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NOTMILK,NOTMILK,1,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA_CHIQUITIN,LALA_CHIQUITIN,3661,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
BONAFONT_LEVITE,BONAFONT_LEVITE,1750,MARCA,MKT_OFF,LEVITE,DANONE,CONFIRMED
PULP,PULP,855,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALPURA_YOGURT_COLAGENO,ALPURA_YOGURT_COLAGENO,2,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
DANONINO,DANONINO,34705,MARCA,MKT_OFF,DANONINO,DANONE,CONFIRMED
REDCOLA,REDCOLA,2681,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTAMARIA,SANTAMARIA,3683,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGA,AGA,15,MARCA,MKT_OFF,PUREZA AGA,DANONE,CONFIRMED
SQUIRT,SQUIRT,4151,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA_PLENIA,LALA_PLENIA,6493,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
SKARCH_FRUTALE,SKARCH_FRUTALE,524,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX_FRESCO,JUMEX_FRESCO,3249,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
ALPURA_YOGURT_DESLACTOSADO,ALPURA_YOGURT_DESLACTOSADO,339,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
CIFRUT,CIFRUT,716,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DELVALLE,DELVALLE,1571,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
COCACOLA,COCACOLA,18332,MARCA,MKT_OFF,COCA COLA,COMPETITOR,CONFIRMED
JARRITOS,JARRITOS,1515,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CIEL_MINERAL,CIEL_MINERAL,1055,MARCA,MKT_OFF,CIEL,COMPETITOR,CONFIRMED
JUMEX_HYDROLIT,JUMEX_HYDROLIT,4473,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
YOPLAIT_GRIEGO,YOPLAIT_GRIEGO,2606,MARCA,MKT_OFF,YOPLAIT,COMPETITOR,CONFIRMED
SPRITE,SPRITE,743,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALPURA_TOYS,ALPURA_TOYS,1823,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
YOPLAIT_SKYR,YOPLAIT_SKYR,191,MARCA,MKT_OFF,YOPLAIT,COMPETITOR,CONFIRMED
FANTA,FANTA,2798,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DANONE,DANONE,41018,MARCA,MKT_OFF,DANONE,DANONE,CONFIRMED
LALA_LECHE_100,LALA_LECHE_100,4242,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
