RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
TAZAS,Tazas,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANAO,DANAO,1,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
PROMO,Promo,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BONAFONT JUGO,BONAFONT JUGO,301,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT JUGO,DANONE,CONFIRMED
DAN'UP,DAN'UP,184,LV2_UMB_BRD_DSC,SELL_IN,DANUP,DANONE,CONFIRMED
BONAFONT KIDS NATURAL,BONAFONT KIDS NATURAL,5,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT KIDS,DANONE,CONFIRMED
HERSHEYS,HERSHEYS,1,LV2_UMB_BRD_DSC,SELL_IN,HERSHEYS,DANONE,CONFIRMED
TOALLAS,Toallas,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BOTANERO,Botanero,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANONINO,DANONINO,277,LV2_UMB_BRD_DSC,SELL_IN,DANONINO,DANONE,CONFIRMED
EVIAN,EVIAN,143,LV2_UMB_BRD_DSC,SELL_IN,EVIAN,DANONE,CONFIRMED
KIDS,Kids,10,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT KIDS,DANONE,CONFIRMED
STAR WARS,Star Wars,5,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
25 AÑOS,25 Años,7,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
MUNDIAL,Mundial,3,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SILK,Silk,1,LV2_UMB_BRD_DSC,SELL_IN,SILK,DANONE,CONFIRMED
BFT 20 LTS,Bft 20 Lts,1,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
DAIRY DANONE FRANCE,Dairy Danone France,1,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
SABOR LIMON,SABOR LIMON,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
CODISTRIBUCION,CODISTRIBUCION,338,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANMIX,DANMIX,30,LV2_UMB_BRD_DSC,SELL_IN,DANMIX,DANONE,CONFIRMED
JUIZZY,Juizzy,36,LV2_UMB_BRD_DSC,SELL_IN,JUIZZY,DANONE,CONFIRMED
PLAYERA MUNDIAL,playera mundial,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
2PACK BLANCO,2Pack Blanco,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
KUNG FU PANDA,Kung Fu Panda,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SO DELICIOUS,SO DELICIOUS,1,LV2_UMB_BRD_DSC,SELL_IN,SO DELICIOUS,DANONE,CONFIRMED
SILK,SILK,417,LV2_UMB_BRD_DSC,SELL_IN,SILK,DANONE,CONFIRMED
BASES,Bases,42,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BOMBA,Bomba,12,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DISNEY,Disney,5,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
FRUIX,FRUIX,14,LV2_UMB_BRD_DSC,SELL_IN,JUIZZY,DANONE,CONFIRMED
REFRACTARIOS,Refractarios,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
NANO,Nano,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SABOR JAMAICA,SABOR JAMAICA,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
VITALINEA,VITALINEA,115,LV2_UMB_BRD_DSC,SELL_IN,VITALINEA,DANONE,CONFIRMED
TÉ BONAFONT,TÉ BONAFONT,7,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT TE,DANONE,CONFIRMED
AGUA NATURAL,Agua Natural,27,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
RETO,Reto,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
LONCHERA,Lonchera,6,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
ICE AGE,Ice Age,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SABOR FRESA,SABOR FRESA,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANONE YOGHURT,DANONE YOGHURT,463,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,335,LV2_UMB_BRD_DSC,SELL_IN,ACTIVIA,DANONE,CONFIRMED
FERRARELLE,FERRARELLE,4,LV2_UMB_BRD_DSC,SELL_IN,EVIAN,DANONE,CONFIRMED
INFANTIL,Infantil,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
CIEL,Ciel,1,LV2_UMB_BRD_DSC,SELL_IN,CIEL,COMPETITOR,CONFIRMED
PRODUCTOS DESCONTINUADOS,Productos Descontinuados,229,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
PROMO,PROMO,13,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
PUREZA AGA,PUREZA AGA,14,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
DISPENSERS,Dispensers,8,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SER PURA,Ser Pura,4,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT SER,DANONE,CONFIRMED
AIRIS,Airis,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARCOIRIS,Arcoiris,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LIBRO NAVIDEÑO,libro navideño,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
TABLAS,Tablas,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
MILK POWDERS,MILK POWDERS,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
OIKOS,OIKOS,137,LV2_UMB_BRD_DSC,SELL_IN,OIKOS,DANONE,CONFIRMED
SALMON BONAFONT,Salmon Bonafont,4,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
DANONE,Danone,6,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
COLORS & FLAVOURS,COLORS & FLAVOURS,3,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
COSMETIQUERA,cosmetiquera,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
YOPRO,YOPRO,15,LV2_UMB_BRD_DSC,SELL_IN,YOPRO,DANONE,CONFIRMED
WATER BONAFONT,WATER BONAFONT,5,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
POUCH,Pouch,4,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
AQUAPURA,AQUAPURA,3,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
