marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
BONAFONT,BONAFONT,BONAFONT,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,166,2026-06-29
BONAFONT JUGO,BONAFONT JUGO,BONAFONT JUGO,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,301,2026-06-29
BONAFONT KIDS,KIDS,KIDS,IBP,MARCA,DANONE,YES,CONFIRMED,960,2026-06-29
BONAFONT KIDS,BONAFONT_KIDS,BONAFONT_KIDS,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,2,2026-06-29
BONAFONT KIDS,BONAFONT_KIDS,BONAFONT_KIDS,MKT_ON,MARCA,DANONE,YES,CONFIRMED,118,2026-06-29
BONAFONT KIDS,BONAFONT KIDS,BONAFONT KIDS,MKT_ON,MARCA,DANONE,YES,CONFIRMED,7,2026-06-29
BONAFONT KIDS,BONAFONT KIDS,BONAFONT KIDS,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,151,2026-06-29
BONAFONT KIDS,KIDS,Kids,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,10,2026-06-29
BONAFONT KIDS,BONAFONT KIDS NATURAL,BONAFONT KIDS NATURAL,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,5,2026-06-29
BONAFONT KIDS,BONAFONT KIDS,BONAFONT KIDS,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,71,2026-06-29
BONAFONT MINERAL,MINERALIZADA,Mineralizada,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,6,2026-06-29
BONAFONT MINERAL,BONAFONT MINERAL,BONAFONT MINERAL,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,5,2026-06-29
BONAFONT SER,BONAFONT SER,BONAFONT SER,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,10,2026-06-29
BONAFONT SER,SER PURA,Ser Pura,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,4,2026-06-29
BONAFONT SER,BONAFONT SER,BONAFONT SER,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,6,2026-06-29
