MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
TRADICIONAL MEXICO GRANDES,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL_GRANDES_MINISUPERS,CITY,MEXICO GRANDES,,TRADICIONAL_GRANDES_MINISUPERS,MEXICO GRANDES
Autoservicios Irapuato,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,IRAPUATO,,AUTOSERVICIO,IRAPUATO
Canal Moderno Guadalajara,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,CITY,GUADALAJARA,,MODERNO_TOTAL,GUADALAJARA
Autoservicios Surt. Completo Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_2,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_2
Autoservicios Surt. Esencial Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA,AREA_6,,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA_6
Canal Tradicional _Monterrey Zona 3,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MONTERREY ZONA 3,,TRADICIONAL,MONTERREY ZONA 3
Autoservicios Surtido Extendido Area 2_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_2,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_2
Autoservicios Surt. Extendido Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_2,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_2
TDC + Farmacias Cad + Hard Discounters Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA,AREA_6,,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA_6
Autoservicios Aguascalientes,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,AGUASCALIENTES,,AUTOSERVICIO,AGUASCALIENTES
Total Autos Aguascalientes,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,AGUASCALIENTES,,AUTOSERVICIO,AGUASCALIENTES
Autos Scanning Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1,,AUTOSERVICIO_SCANNING,AREA_1
Autoservicios La Paz,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,LA PAZ,,AUTOSERVICIO,LA PAZ
TRADICIONAL VERACRUZ.,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,VERACRUZ,,TRADICIONAL,VERACRUZ
Proximidad Monterrey_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,PROXIMIDAD,CITY,MONTERREY,,PROXIMIDAD,MONTERREY
TRADICIONAL AREA II,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_2,,TRADICIONAL,AREA_2
Autoservicios Cd. Obregon,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,CD OBREGON,,AUTOSERVICIO,CD OBREGON
Canal Tradicional _Toluca,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TOLUCA,,TRADICIONAL,TOLUCA
Total Autos Area 6,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Scanning Matamoros,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MATAMOROS,,AUTOSERVICIO_SCANNING,MATAMOROS
Total Autos Monterrey,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MONTERREY,,AUTOSERVICIO,MONTERREY
Canal Tradicional _Area 6.2 Sur,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_6,AREA_6_2_SUR,TRADICIONAL,AREA_6
Autoservicios Scanning Campeche,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CAMPECHE,,AUTOSERVICIO_SCANNING,CAMPECHE
Canal Tradicional _Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_6,,TRADICIONAL,AREA_6
