FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCITO,Tecamac,Mexico,CENTRO,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Michoacan,Michoacan,CENTRO,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SELECTO,alvaro Obregon,Distrito Federal,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,,Xicotencatl,Tamaulipas,NORTE,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Acapulco de Juarez,Guerrero,SUR,,3
WM-BOD AURRERA EXPRESS,WALMART,,Olivos Zumpango,Mexico,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Playa Penitas,Nayarit,CENTRO,,1
SAMS CLUB,SAMS,,Puerto Penasco,Sonora,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Zapotiltic,Jalisco,CENTRO,PLATA,1
OXXO,OXXO,OXXO,Los Mochis,Sinaloa,NA,SIN CLUSTER,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Leon,Guanajuato,NORTE,BRONCE,2
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Cuautlancingo,Puebla,SUR,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Ciudad Valles,San Luis Potosi,NORTE,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Coacalco de Berriozabal,Mexico,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Lagos de Moreno,Jalisco,NORTE,DIAMANTE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,MORELIA,Michoacan,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tequila,Jalisco,CENTRO,ORO,1
CM-MEGA,COMERCIAL MEXICANA,NA,Tepeji del Rio de Ocampo,Hidalgo,ND,ND,1
CL-SUPER,CASALEY,CL-CASA LEY,NA,Baja California,NORTE,BRONCE,2
SAMS CLUB,SAMS,SAM-SAMS,Monterrey,Nuevo Leon,NORTE,SAMS,3
SO-EXPRESS,SORIANA,SOR-MERCADO,Monterrey,Nuevo Leon,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Villas del Pedregal,Michoacan,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Queretaro,Queretaro,SUR,ORO,2
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Guasave,Sinaloa,NORTE,ORO,1
HEB-MI TIENDA,HEB,NA,NA,Tamaulipas,ND,ND,1
SO-EXPRESS,SORIANA,SOR-MEGA,Parras,Nuevo Leon,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Valladolid,Yucatan,SUR,DIAMANTE,1
CL-FIESTA,CASALEY,CL-CASA LEY,Puerto Vallarta,Jalisco,CENTRO,PLATA,1
SO-SUPER,SORIANA,SOR-MEGA,Cancun,Quintana Roo,SUR,BRONCE,1
OXXO,OXXO,OXXO,Zacatecas,Zacatecas,NA,SIN CLUSTER,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Veracruz,Veracruz,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Suchiapa,Chiapas,SUR,PLATA,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Ahome,Sinaloa,NORTE,PLATA,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Los Ramones,Nuevo Leon,NORTE,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-CHEDRAUI,NA,Hidalgo,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Huehuetoca,Mexico,CENTRO,PLATA,1
CM-BODEGA,COMERCIAL MEXICANA,NA,Veracruz,Veracruz,ND,ND,1
COSTCO,COSTCO,COSTCO,Saltillo,Coahuila,NORTE,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Yautepec,Morelos,SUR,ORO,1
CM-MEGA,COMERCIAL MEXICANA,NA,Carmen,Campeche,ND,ND,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Jesus Maria,Aguascalientes,NORTE,ORO,1
CH-TIENDAS,TIENDAS CHEDRAUI,NA,Merida,Yucatan,ND,ND,1
SAMS CLUB,SAMS,SAM-SAMS,NA,Sonora,NORTE,SAMS,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Xalapa,Veracruz,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Mazatan,Chiapas,SUR,PLATA,1
OXXO,OXXO,NA,San Luis Potosi,San Luis Potosi,ND,ND,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Minatitlan,Veracruz,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Matias Romero Avendano,Oaxaca,SUR,,1
WM-BODEGA AURRERA,WALMART,,Sinaloa,Sinaloa,NORTE,,1
SAMS CLUB,SAMS,,Tula de Allende,Hidalgo,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Poanas,Durango,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,San Cristobal de las Casas,Chiapas,SUR,,1
WM-BODEGA AURRERA,WALMART,,Santa Barbara,Jalisco,CENTRO,,1
WM-BODEGA AURRERA,WALMART,,Cardenas,Tabasco,SUR,,1
CL-FIESTA,CASALEY,,Huatabampo,Sonora,NORTE,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,QUERETARO,Queretaro,SUR,,1
SO-CITY CLUB,SORIANA,,Ecatepec De Morelos,Mexico,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Pachuca De Soto,Hidalgo,CENTRO,,1
CITY CLUB,CITY CLUB,,NA,Tamaulipas,NORTE,,1
CL-FRESH,CASALEY,,Culiacan,Sinaloa,NORTE,,2
CCF-SUMESA,COMERCIAL CITY FRESKO,,Coyoacan,Distrito Federal,CENTRO,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Culiacan,Sinaloa,NA,,1
WM-MI BODEGA AURRERA,WALMART,,Zinapecuaro,Michoacan,CENTRO,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Ciudad Valles,San Luis Potosi,NORTE,,1
CITY CLUB,CITY CLUB,,Coacalco de Berriozabal,Mexico,CENTRO,,1
SO-EXPRESS,SORIANA,,Parras,San Luis Potosi,NORTE,,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,,Victoria,Tamaulipas,NA,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Suchiate,Chiapas,SUR,,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Silao,Oaxaca,SUR,BRONCE,1
FU-ALSUPER,FUTURAMA,FUT-AL SUPER,Torreon,Coahuila,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,NA,TULUM,Quintana Roo,SUR,BRONCE,1
CL-FIESTA,CASALEY,CL-CASA LEY,Guaymas,Sonora,NORTE,PLATA,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Soledad De Graciano Sanchez,San Luis Potosi,NORTE,BRONCE,2
SO-MERCADOS,SORIANA,SOR-MERCADO,Delicias,Chihuahua,NORTE,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MEGA,Ixmiquilpan,Hidalgo,SUR,PLATA,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Cuautitlan Izcalli,Mexico,CENTRO,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Heroica Ciudad de Ejutla de Crespo,Oaxaca,SUR,ORO,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,NA,Veracruz,ND,DIAMANTE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Xochitepec,Morelos,SUR,BRONCE,1
CCF-LA COMER,COMERCIAL CITY FRESKO,CF-COMERCIAL MEXICANA,Uruapan,Michoacan,CENTRO,ORO,1
WM-CEDIS,WALMART,NA,Valle de Chalco Solidaridad,Mexico,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,San Luis Potosi,San Luis Potosi,NORTE,PLATA,1
