FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
SAMS CLUB,SAMS,,Cuautitlan Izcalli,Mexico,CENTRO,,1
CM-BODEGA,COMERCIAL MEXICANA,,Naucalpan de Juarez,Mexico,NA,,1
CM-AL PRECIO,COMERCIAL MEXICANA,,Tecamac,Mexico,NA,,1
SO-CITY CLUB,SORIANA,,Coacalco De Berriozabal,Mexico,0,,1
WM-MI BODEGA AURRERA,WALMART,,Tlatlauquitepec,Puebla,SUR,,1
SO-EXPRESS,SORIANA,,Acapulco de Juarez,Guerrero,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Temascalcingo,Mexico,CENTRO,,1
WM-ECOMMERCE,WALMART,,NA,Desconocido,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,NA,Sinaloa,CENTRO,,1
SO-EXPRESS,SORIANA,,Santa Catarina,Nuevo Leon,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,San Miguel el Alto,Jalisco,NORTE,,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,San Luis Rio Colorado,Sonora,NORTE,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Boca del Rio,Veracruz,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Agua Blanca,Jalisco,CENTRO,PLATA,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Centro,Tabasco,SUR,DIAMANTE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Nezahualcoyotl,Mexico,CENTRO,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Uman,Yucatan,SUR,BRONCE,1
CL-SUPER,CASALEY,NA,NA,Desconocido,ND,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Guanajuato,Guanajuato,NORTE,PLATA,1
OXXO,OXXO,OXXO,Nogales,Sonora,NA,SIN CLUSTER,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Altamira,Tamaulipas,NORTE,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Iztapalapa,Distrito Federal,CENTRO,PLATA,1
SAMS CLUB,SAMS,SAM-SAMS,Tlajomulco de Zuniga,Jalisco,CENTRO,SAMS,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Cuauhtemoc,Distrito Federal,CENTRO,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Indigena,Jalisco,CENTRO,BRONCE,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Benito Juarez,Distrito Federal,CENTRO,DIAMANTE,1
OXXO,OXXO,OXXO,Vallarta,Jalisco,NA,SIN CLUSTER,1
CM-BODEGA,COMERCIAL MEXICANA,NA,Chicoloapan,Mexico,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Sinaloa,Sinaloa,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Saltillo,Coahuila,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Zacatecas,Zacatecas,NORTE,PLATA,1
CCF-LA COMER,COMERCIAL CITY FRESKO,NA,NA,Queretaro,ND,PLATA,1
CL-FIESTA,CASALEY,NA,Torreon,Coahuila,ND,ND,1
CH-CEDIS,TIENDAS CHEDRAUI,NA,La Paz,Baja California Sur,NORTE,BRONCE,1
SO-CITY CLUB,SORIANA,NA,Piedras Negras,Coahuila,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Tecoman,Colima,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Gustavo Diaz Ordaz,Tamaulipas,NORTE,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Lazaro Cardenas,Michoacan,CENTRO,PLATA,1
SAMS CLUB,SAMS,SAM-SAMS,Iztapalapa,Distrito Federal,CENTRO,SAMS,2
WM-BODEGA AURRERA,WALMART,NA,Valladolid,Yucatan,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ajalpan,Puebla,SUR,PLATA,1
OXXO,OXXO,NA,Leon,Guanajuato,ND,ND,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,NA,Veracruz,NA,,8
7E-TRAFICO,7ELEVEN,,NA,Quintana Roo,NA,,27
7E-TRAFICO,7ELEVEN,,NA,Coahuila,NA,,92
7E-HABITACIONAL AB,7ELEVEN,,NA,Nuevo Leon,NA,,127
7E-TRAFICO,7ELEVEN,,NA,Nuevo Leon,NA,,317
7E-TRAFICO,7ELEVEN,,NA,Tamaulipas,NA,,141
7E-HABITACIONAL AB,7ELEVEN,,NA,Distrito Federal,NA,,72
ZORRO,ZORRO,,NA,Desconocido,NA,,9
WM-BODEGA AURRERA,WALMART,,Tecamac,Mexico,CENTRO,,6
OXXO,OXXO,,NA,Nuevo Leon,NA,,1661
OXXO,OXXO,,NA,Desconocido,ND,,135
OXXO,OXXO,,NA,Queretaro,ND,,28
OXXO,OXXO,,NA,Coahuila,ND,,18
WM-BOD AURRERA EXPRESS,WALMART,,NA,Nuevo Leon,NORTE,,29
WM-BOD AURRERA EXPRESS,WALMART,,Iztacalco,Distrito Federal,CENTRO,,11
CALIMAX,CALIMAX,,Ensenada,Baja California,NORTE,,19
OXXO,OXXO,,NA,Mexico,NA,,1044
WM-BOD AURRERA EXPRESS,WALMART,,Nezahualcoyotl,Mexico,CENTRO,,15
SAMS CLUB,SAMS,,Tlalnepantla de Baz,Mexico,CENTRO,,4
WM-SUPERAMA,WALMART,,Miguel Hidalgo,Distrito Federal,CENTRO,,8
WM-BOD AURRERA EXPRESS,WALMART,,San Nicolas de los Garza,Nuevo Leon,NORTE,,10
OXXO,OXXO,,NA,Hidalgo,NA,,377
WM-BOD AURRERA EXPRESS,WALMART,,Apodaca,Nuevo Leon,NORTE,,30
CL-EXPRESS,CASALEY,,Guaymas,Sonora,NORTE,,3
OXXO,OXXO,,Ciudad de Los Mochis,Sinaloa,NA,,16
OXXO,OXXO,,Merida,Yucatan,NA,,29
OXXO,OXXO,,NA,Baja California,NA,,1310
OXXO,OXXO,,Monterrey,Nuevo Leon,NA,,78
CH-SUPERCITO,TIENDAS CHEDRAUI,,Toluca,Mexico,SUR,,2
CL-FIESTA,CASALEY,,Ensenada,Baja California,NORTE,,3
ZORRO,ZORRO,,Ecatepec De Morelos,Mexico,NA,,6
7E-HABITACIONAL C,7ELEVEN,,NA,Nuevo Leon,NA,,106
7E-HABITACIONAL AB,7ELEVEN,,NA,Jalisco,NA,,15
OXXO,OXXO,,NA,San Luis Potosi,ND,,22
OXXO,OXXO,,NA,Puebla,ND,,8
CH-SUPERCITO,TIENDAS CHEDRAUI,,Ecatepec,Mexico,CENTRO,,2
7E-TRAFICO,7ELEVEN,,NA,Desconocido,NA,,14
WM-BODEGA AURRERA,WALMART,,Ecatepec de Morelos,Mexico,CENTRO,,12
WM-BOD AURRERA EXPRESS,WALMART,,Tultitlan,Mexico,CENTRO,,21
WM-BOD AURRERA EXPRESS,WALMART,,San Luis Potosi,San Luis Potosi,NORTE,,24
CH-SUPERCITO,TIENDAS CHEDRAUI,,Acapulco,Guerrero,SUR,,8
SO-MERCADOS,SORIANA,,Torreon,Coahuila,NORTE,,3
SO-HIPERMERCADOS,SORIANA,,Saltillo,Coahuila,NORTE,,7
WM-BODEGA AURRERA,WALMART,,Tlaquepaque,Jalisco,CENTRO,,6
CCF-FRESKO,COMERCIAL CITY FRESKO,,Naucalpan de Juarez,Mexico,CENTRO,,4
CH-TIENDAS,TIENDAS CHEDRAUI,,Coyoacan,Distrito Federal,CENTRO,,3
OXXO,OXXO,,Nogales,Sonora,NA,,5
WM-BOD AURRERA EXPRESS,WALMART,,Alvaro Obregon,Distrito Federal,CENTRO,,4
WM-CEDIS,WALMART,,Cuautitlan Izcalli,Mexico,CENTRO,,3
WM-BOD AURRERA EXPRESS,WALMART,,Villa de Alvarez,Colima,CENTRO,,3
7E-CARRETERA,7ELEVEN,,NA,Nuevo Leon,NA,,42
OXXO,OXXO,,NA,Zacatecas,NA,,217
OXXO,OXXO,,NA,Aguascalientes,ND,,12
WM-BOD AURRERA EXPRESS,WALMART,,Tlahuac,Distrito Federal,CENTRO,,9
OXXO,OXXO,,Ciudad de Cancun,Quintana Roo,NA,,38
OXXO,OXXO,,NA,Sinaloa,NA,,803
OXXO,OXXO,,NA,Coahuila,NA,,1027
OXXO,OXXO,,NA,Tamaulipas,NA,,1125
OXXO,OXXO,,NA,San Luis Potosi,NA,,319
OXXO,OXXO,,Matamoros,Tamaulipas,NA,,10
CH-SUPERCITO,TIENDAS CHEDRAUI,,Puebla,Puebla,SUR,,7
WM-BOD AURRERA EXPRESS,WALMART,,Celaya,Guanajuato,NORTE,,2
OXXO,OXXO,,NA,Chihuahua,ND,,24
OXXO,OXXO,,NA,Michoacan,ND,,18
7E-7ELEVEN,7ELEVEN,,NA,Desconocido,ND,,49
SO-HIPERMERCADOS,SORIANA,,Puebla,Puebla,SUR,,8
WM-BOD AURRERA EXPRESS,WALMART,,Morelia,Michoacan,CENTRO,,19
WM-BOD AURRERA EXPRESS,WALMART,,Cadereyta Jimenez,Nuevo Leon,NORTE,,5
WM-BOD AURRERA EXPRESS,WALMART,,Juarez,Nuevo Leon,NORTE,,29
CL-EXPRESS,CASALEY,,La Paz,Baja California Sur,NORTE,,8
WM-BOD AURRERA EXPRESS,WALMART,,Tizayuca,Hidalgo,SUR,,4
WM-BODEGA AURRERA,WALMART,,Aguascalientes,Aguascalientes,NORTE,,9
WM-BOD AURRERA EXPRESS,WALMART,,Coyoacan,Distrito Federal,CENTRO,,7
OXXO,OXXO,,Aguascalientes,Aguascalientes,NA,,13
SAMS CLUB,SAMS,,Chihuahua,Chihuahua,NORTE,,3
CH-TIENDAS,TIENDAS CHEDRAUI,,Poza Rica de Hidalgo,Veracruz,SUR,,3
CH-SUPERCITO,TIENDAS CHEDRAUI,,Gustavo A. Madero,Distrito Federal,CENTRO,,13
CITY CLUB,CITY CLUB,,NA,Aguascalientes,0,,14
WM-BOD AURRERA EXPRESS,WALMART,,Jiutepec,Morelos,SUR,,4
WM-BOD AURRERA EXPRESS,WALMART,,Monclova,Coahuila,NORTE,,7
CL-EXPRESS,CASALEY,,Culiacan,Sinaloa,NORTE,,35
OXXO,OXXO,,Reynosa,Tamaulipas,NA,,7
OXXO,OXXO,,Zacatecas,Zacatecas,NA,,7
OXXO,OXXO,,NA,Guerrero,ND,,16
7E-TRAFICO,7ELEVEN,,NA,Desconocido,ND,,42
SO-EXPRESS,SORIANA,,Yautepec,Morelos,SUR,,2
WM-BOD AURRERA EXPRESS,WALMART,,Toluca,Mexico,CENTRO,,8
WM-BOD AURRERA EXPRESS,WALMART,,Benito Juarez,Distrito Federal,CENTRO,,8
CH-SUPERCHE,TIENDAS CHEDRAUI,,Veracruz,Veracruz,SUR,,2
SO-HIPERMERCADOS,SORIANA,,Mazatlan,Sinaloa,NORTE,,5
CH-TIENDAS,TIENDAS CHEDRAUI,,Solidaridad,Quintana Roo,SUR,,5
CH-CEDIS,TIENDAS CHEDRAUI,,NA,Tamaulipas,NORTE,,2
SO-HIPERMERCADOS,SORIANA,,Zapopan,Jalisco,CENTRO,,10
CL-FIESTA,CASALEY,,Mexicali,Baja California,NORTE,,6
SO-HIPERMERCADOS,SORIANA,,Tijuana,Baja California,NORTE,,12
FU-AL SUPER STORE,FUTURAMA,,Saltillo,Coahuila,NORTE,,4
7E-CARRETERA,7ELEVEN,,NA,Mexico,ND,,4
WM-BOD AURRERA EXPRESS,WALMART,,Celaya,Guanajuato,SUR,,6
WM-BOD AURRERA EXPRESS,WALMART,,Xochimilco,Distrito Federal,CENTRO,,5
7E-CENTRO,7ELEVEN,,NA,Quintana Roo,NA,,3
WM-SUPERAMA,WALMART,,Benito Juarez,Distrito Federal,CENTRO,,11
SO-HIPERMERCADOS,SORIANA,,Atizapan de Zaragoza,Mexico,CENTRO,,3
OXXO,OXXO,,NA,Mexico,ND,,21
CL-EXPRESS,CASALEY,,Los Cabos,Baja California Sur,NORTE,,5
WM-BOD AURRERA EXPRESS,WALMART,,Cuautitlan Izcalli,Mexico,CENTRO,,11
WM-BODEGA AURRERA,WALMART,,Juarez,Nuevo Leon,NORTE,,6
HEB-MI TIENDA,HEB,,Monterrey,Nuevo Leon,NORTE,,4
WM-BOD AURRERA EXPRESS,WALMART,,Benito Juarez,Quintana Roo,SUR,,11
WM-BOD AURRERA EXPRESS,WALMART,,NA,Nuevo Leon,NA,,4
WM-BOD AURRERA EXPRESS,WALMART,,Tijuana,Baja California,NORTE,,4
WM-BOD AURRERA EXPRESS,WALMART,,NA,Guanajuato,SUR,,3
7E-PEATONAL,7ELEVEN,,NA,Mexico,NA,,5
WM-ECOMMERCE,WALMART,,Juarez,Nuevo Leon,0,,8
HEB-ECOMMERCE,HEB,,NA,Coahuila,0,,10
SO-SUPER CITY,SORIANA,,Tampico,Tamaulipas,NORTE,,7
WM-SUPERAMA,WALMART,,Tlalpan,Distrito Federal,CENTRO,,6
WM-BOD AURRERA EXPRESS,WALMART,,Tonala,Jalisco,CENTRO,,13
WM-BODEGA AURRERA,WALMART,,Ciudad Obregon,Sonora,NORTE,,2
SO-HIPERMERCADOS,SORIANA,,Culiacan,Sinaloa,NORTE,,5
OXXO,OXXO,,NA,Campeche,ND,,6
WM-BOD AURRERA EXPRESS,WALMART,,Nicolas Romero,Mexico,CENTRO,,12
OXXO,OXXO,,NA,Hidalgo,ND,,7
WM-BOD AURRERA EXPRESS,WALMART,,Boca del Rio,Veracruz,SUR,,3
WM-SUPER CENTER,WALMART,,Puebla,Puebla,SUR,,8
WM-BOD AURRERA EXPRESS,WALMART,,Zumpango,Mexico,CENTRO,,6
WM-SUPER CENTER,WALMART,,Durango,Durango,NORTE,,5
FU-MAYOREOS,FUTURAMA,,Chihuahua,Chihuahua,NORTE,,4
SO-SUPER,SORIANA,,Zapopan,Jalisco,CENTRO,,7
SO-HIPERMERCADOS,SORIANA,,San Nicolas de los Garza,Nuevo Leon,NORTE,,4
CH-SUPERCITO,TIENDAS CHEDRAUI,,alvaro Obregon,Distrito Federal,CENTRO,,6
CH-SUPERCITO,TIENDAS CHEDRAUI,,NA,Guerrero,NA,,4
CH-SUPERCITO,TIENDAS CHEDRAUI,,Chalco,Mexico,CENTRO,,4
HEB,HEB,,Torreon,Coahuila,NORTE,,3
7E-CARRETERA,7ELEVEN,,NA,Baja California,NA,,11
SO-HIPERMERCADOS,SORIANA,,Tlalpan,Distrito Federal,CENTRO,,4
CL-SUPER,CASALEY,,Tijuana,Baja California,NORTE,,9
WM-BODEGA AURRERA,WALMART,,Torreon,Coahuila,NORTE,,4
SO-MERCADOS,SORIANA,,Texcoco,Mexico,CENTRO,,2
CL-EXPRESS,CASALEY,,Mazatlan,Sinaloa,NORTE,,8
WM-BODEGA AURRERA,WALMART,,La Paz,Mexico,CENTRO,,2
WM-BODEGA AURRERA,WALMART,,Tonala,Jalisco,CENTRO,,3
WM-BOD AURRERA EXPRESS,WALMART,,NA,Michoacan,NA,,2
WM-BOD AURRERA EXPRESS,WALMART,,NA,Distrito Federal,0,,2
WM-BOD AURRERA EXPRESS,WALMART,,Ramos Arizpe,Coahuila,NORTE,,6
CL-FIESTA,CASALEY,,La Paz,Baja California Sur,NORTE,,2
WM-BODEGA AURRERA,WALMART,,Nezahualcoyotl,Mexico,CENTRO,,4
SO-HIPERMERCADOS,SORIANA,,Queretaro,Queretaro,SUR,,8
WM-BOD AURRERA EXPRESS,WALMART,,Carmen,Nuevo Leon,NORTE,,5
CL-EXPRESS,CASALEY,,Navolato,Sinaloa,NORTE,,4
CH-TIENDAS,TIENDAS CHEDRAUI,,Coatzacoalcos,Veracruz,SUR,,3
CH-SUPERCITO,TIENDAS CHEDRAUI,,NA,Desconocido,SUR,,2
WM-BOD AURRERA EXPRESS,WALMART,,Tlajomulco De Zuniga,Jalisco,CENTRO,,2
WM-BOD AURRERA EXPRESS,WALMART,,Manzanillo,Colima,CENTRO,,2
SO-MERCADOS,SORIANA,,Lazaro Cardenas,Michoacan,CENTRO,,2
WM-BOD AURRERA EXPRESS,WALMART,,Salamanca,Guanajuato,SUR,,3
WM-BODEGA AURRERA,WALMART,,Veracruz,Veracruz,SUR,,6
WM-BODEGA AURRERA,WALMART,,Morelia,Michoacan,CENTRO,,5
CH-TIENDAS,TIENDAS CHEDRAUI,,Bahia de Banderas,Nayarit,CENTRO,,2
CL-EXPRESS,CASALEY,,Hermosillo,Sonora,NORTE,,9
WM-SUPER CENTER,WALMART,,Chihuahua,Chihuahua,NORTE,,5
SO-HIPERMERCADOS,SORIANA,,Morelia,Michoacan,CENTRO,,5
SO-SUPER,SORIANA,,La Paz,Baja California Sur,NORTE,,2
SO-HIPERMERCADOS,SORIANA,,Gomez Palacio,Durango,NORTE,,4
SO-SUPER,SORIANA,,Cuernavaca,Morelos,SUR,,2
SO-HIPERMERCADOS,SORIANA,,Benito Juarez,Quintana Roo,SUR,,4
CH-SELECTO,TIENDAS CHEDRAUI,,Miguel Hidalgo,Distrito Federal,CENTRO,,3
CH-TIENDAS,TIENDAS CHEDRAUI,,Coacalco de Berriozabal,Mexico,CENTRO,,2
OXXO,OXXO,,NA,Morelos,ND,,7
OXXO,OXXO,,NA,Colima,ND,,2
WM-BOD AURRERA EXPRESS,WALMART,,Xalapa,Veracruz,SUR,,4
WM-BOD AURRERA EXPRESS,WALMART,,Tecoman,Colima,CENTRO,,3
WM-BODEGA AURRERA,WALMART,,Venustiano Carranza,Distrito Federal,CENTRO,,2
WM-MEDIMART,WALMART,,Iztapalapa,Distrito Federal,CENTRO,,2
WM-BOD AURRERA EXPRESS,WALMART,,Tlaquepaque,Jalisco,CENTRO,,12
SAMS CLUB,SAMS,,Aguascalientes,Aguascalientes,NORTE,,2
CM-CEDIS,COMERCIAL MEXICANA,,Azcapotzalco,Distrito Federal,NA,,3
HEB,HEB,,Leon,Guanajuato,NORTE,,3
CH-DARK STORE,TIENDAS CHEDRAUI,,NA,Desconocido,NA,,10
ZORRO,ZORRO,,Atizapan De Zaragoza,Mexico,NA,,3
SO-MERCADOS,SORIANA,,Coacalco de Berriozabal,Mexico,CENTRO,,2
SAMS CLUB,SAMS,,Tuxtla Gutierrez,Chiapas,SUR,,3
SO-HIPERMERCADOS,SORIANA,,Tuxtla Gutierrez,Chiapas,SUR,,2
JUSTO,JUSTO,,NA,Desconocido,NA,,2
CL-EXPRESS,CASALEY,,Ahome,Sinaloa,NORTE,,4
WM-BOD AURRERA EXPRESS,WALMART,NA,NA,Guanajuato,NA,NA,4
OXXO,OXXO,NA,NA,Desconocido,NA,NA,5
OXXO,OXXO,OXXO,NA,NA,NA,BRONCE,1369
OXXO,OXXO,OXXO,NA,Guanajuato,NA,SIN CLUSTER,519
OXXO,OXXO,OXXO,NA,Guerrero,NA,SIN CLUSTER,290
OXXO,OXXO,OXXO,NA,Tamaulipas,NA,SIN CLUSTER,959
OXXO,OXXO,OXXO,NA,Veracruz,NA,BRONCE,204
OXXO,OXXO,OXXO,Guadalajara,Jalisco,NA,BRONCE,87
OXXO,OXXO,OXXO,NA,Michoacan,NA,BRONCE,57
7E-HABITACIONAL AB,7ELEVEN,NA,NA,Nuevo Leon,NA,SIN CLUSTER,86
7E-TRAFICO,7ELEVEN,NA,NA,Nuevo Leon,NA,BRONCE,105
OXXO,OXXO,OXXO,NA,Baja California,NA,SIN CLUSTER,1168
OXXO,OXXO,OXXO,NA,Queretaro,NA,SIN CLUSTER,539
OXXO,OXXO,OXXO,NA,Sinaloa,NA,BRONCE,95
OXXO,OXXO,OXXO,NA,Tabasco,NA,SIN CLUSTER,253
OXXO,OXXO,OXXO,NA,Distrito Federal,NA,SIN CLUSTER,1537
OXXO,OXXO,OXXO,NA,Distrito Federal,NA,BRONCE,358
OXXO,OXXO,OXXO,NA,Nayarit,NA,BRONCE,7
7E-7ELEVEN,7ELEVEN,NA,NA,Nuevo Leon,NA,BRONCE,35
OXXO,OXXO,OXXO,NA,San Luis Potosi,NA,SIN CLUSTER,268
CORNERSHOP,CORNERSHOP,NA,NA,Desconocido,NA,BRONCE,46
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Acapulco de Juarez,Guerrero,SUR,BRONCE,10
OXXO,OXXO,OXXO,Puebla,Puebla,NA,BRONCE,35
7E-HABITACIONAL AB,7ELEVEN,NA,NA,Desconocido,NA,BRONCE,21
OXXO,OXXO,OXXO,NA,Zacatecas,NA,BRONCE,30
7E-PEATONAL,7ELEVEN,NA,NA,Nuevo Leon,NA,BRONCE,45
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Tlajomulco de Zuniga,Jalisco,CENTRO,BRONCE,25
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Apodaca,Nuevo Leon,NORTE,PLATA,4
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,NA,Baja California,NORTE,BRONCE,5
7E-HABITACIONAL AB,7ELEVEN,NA,NA,Mexico,NA,BRONCE,44
OXXO,OXXO,OXXO,NA,Yucatan,NA,BRONCE,70
7E-HABITACIONAL C,7ELEVEN,NA,NA,Distrito Federal,NA,SIN CLUSTER,13
7E-PEATONAL,7ELEVEN,NA,NA,Nuevo Leon,NA,SIN CLUSTER,60
OXXO,OXXO,OXXO,Ciudad de Los Mochis,Sinaloa,NA,BRONCE,16
CM-MEGA,COMERCIAL MEXICANA,NA,Mexicali,Baja California,ND,ND,5
SO-SUPER CITY,SORIANA,SOR-CITY CLUB,Saltillo,Coahuila,NORTE,BRONCE,12
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Zapopan,Jalisco,CENTRO,BRONCE,26
7E-HABITACIONAL AB,7ELEVEN,NA,TAMAULIPAS,Coahuila,NA,BRONCE,9
SO-EXPRESS,SORIANA,SOR-EXPRESS,Iztapalapa,Distrito Federal,CENTRO,BRONCE,2
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Veracruz,Veracruz,SUR,ORO,3
SAMS-CEDIS,SAMS,NA,NA,Mexico,NA,BRONCE,4
WM-CEDIS,WALMART,NA,NA,Mexico,ND,BRONCE,7
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Cienega de Flores,Nuevo Leon,NORTE,BRONCE,5
OXXO,OXXO,OXXO,Poza Rica de Hidalgo,Veracruz,NA,BRONCE,11
OXXO,OXXO,OXXO,Monclova,Coahuila,NA,BRONCE,11
OXXO,OXXO,OXXO,Coatzacoalcos,Veracruz,NA,BRONCE,22
7E-CARRETERA,7ELEVEN,NA,NA,Tamaulipas,NA,SIN CLUSTER,19
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,NA,Tijuana,Baja California,ND,ND,9
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Mexicali,Baja California,NORTE,BRONCE,2
SAMS-CEDIS,SAMS,NA,NA,Mexico,ND,ND,4
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Chimalhuacan,Mexico,CENTRO,BRONCE,9
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Huixquilucan,Mexico,CENTRO,BRONCE,2
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Tuxtla Gutierrez,Chiapas,SUR,PLATA,3
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Tecoman,Colima,CENTRO,BRONCE,3
WM-BOD AURRERA EXPRESS,WALMART,,NA,Desconocido,0,,2
OXXO,OXXO,OXXO,NA,Baja California Sur,NA,SIN CLUSTER,215
OXXO,OXXO,OXXO,NA,Mexico,NA,BRONCE,244
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Monterrey,Nuevo Leon,NORTE,BRONCE,65
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Cuautitlan Izcalli,Mexico,CENTRO,BRONCE,10
7E-TRAFICO,7ELEVEN,NA,NA,Puebla,NA,SIN CLUSTER,7
7E-CARRETERA,7ELEVEN,NA,NA,Nuevo Leon,NA,SIN CLUSTER,27
7E-HABITACIONAL C,7ELEVEN,NA,NA,Baja California,NA,BRONCE,5
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,NA,Guerrero,ND,BRONCE,2
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Gustavo A. Madero,Distrito Federal,CENTRO,BRONCE,17
WM-BODEGA AURRERA,WALMART,,Campeche,Campeche,SUR,,3
SAMS CLUB,SAMS,,Pachuca de Soto,Hidalgo,SUR,,2
WM-SUPER CENTER,WALMART,,Monterrey,Nuevo Leon,NORTE,,6
CL-SUPER,CASALEY,,Culiacan,Sinaloa,NORTE,,5
OXXO,OXXO,,Ciudad de Mexico,Distrito Federal,ND,,2
WM-BOD AURRERA EXPRESS,WALMART,,Acolman,Mexico,CENTRO,,2
SO-SUPER,SORIANA,,San Pedro Garza Garcia,Nuevo Leon,NORTE,,4
CALIMAX,CALIMAX,,Tecate,Baja California,NORTE,,3
SO-MERCADOS,SORIANA,,Saltillo,Coahuila,NORTE,,4
CM-BODEGA,COMERCIAL MEXICANA,,Aguascalientes,Aguascalientes,NA,,2
SO-HIPERMERCADOS,SORIANA,,Gral. Escobedo,Nuevo Leon,NORTE,,2
OXXO,OXXO,,Ensenada,Baja California Sur,NA,,2
CH-SUPERCHE,TIENDAS CHEDRAUI,,Tuxtla Gutierrez,Chiapas,SUR,,2
SO-MERCADOS,SORIANA,,Puebla,Puebla,SUR,,4
WM-BODEGA AURRERA,WALMART,,Comitan de Dominguez,Chiapas,SUR,,2
SO-HIPERMERCADOS,SORIANA,,Los Cabos,Baja California Sur,NORTE,,4
WM-SUPER CENTER,WALMART,,Torreon,Coahuila,NORTE,,3
SAMS CLUB,SAMS,,Saltillo,Coahuila,NORTE,,2
WM-BODEGA AURRERA,WALMART,,Huehuetoca,Mexico,CENTRO,,2
WM-SUPER CENTER,WALMART,,Tonala,Jalisco,CENTRO,,2
WM-MI BODEGA AURRERA,WALMART,,Ezequiel Montes,Queretaro,SUR,,2
WM-BODEGA AURRERA,WALMART,,Nogales,Sonora,NORTE,,3
CH-SUPERCHE,TIENDAS CHEDRAUI,,Ecatepec de Morelos,Mexico,CENTRO,,2
WM-BOD AURRERA EXPRESS,WALMART,,Gral. Zuazua,Nuevo Leon,NORTE,,3
HEB,HEB,,Tampico,Tamaulipas,NORTE,,2
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,NA,Veracruz,NA,NA,8
SO-SUPER,SORIANA,SOR-SUPER,Ensenada,Baja California,NORTE,BRONCE,8
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Salamanca,Guanajuato,SUR,BRONCE,3
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Nuevo Laredo,Tamaulipas,NORTE,PLATA,2
ZORRO,ZORRO,NA,Gustavo A. Madero,Distrito Federal,NA,SIN CLUSTER,3
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Culiacan,Sinaloa,NORTE,BRONCE,5
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Benito Juarez,Distrito Federal,CENTRO,ORO,6
7E-TRAFICO,7ELEVEN,NA,NA,Coahuila,NA,BRONCE,29
7E-PEATONAL,7ELEVEN,NA,NA,Jalisco,NA,SIN CLUSTER,24
7E-TRAFICO,7ELEVEN,NA,NA,Tamaulipas,NA,BRONCE,32
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-CHEDRAUI,Veracruz,Veracruz,SUR,BRONCE,5
CL-FIESTA,CASALEY,CL-CASA LEY,Hermosillo,Sonora,NORTE,BRONCE,6
