source_system,total_variants,confirmed_variants,unmapped_variants,coverage_pct,total_row_count
IBP,23,23,0,100.0,985464
MKT_OFF,101,60,41,59.41,522003
MKT_ON,32,32,0,100.0,46642
NIELSEN_EDP,219,18,201,8.22,3221
NIELSEN_PB,77,4,73,5.19,496
NIELSEN_WATER_RT,160,9,151,5.63,2034
NIELSEN_WATER_ST,140,8,132,5.71,2890
SELL_IN,129,113,16,87.6,5466
SELL_OUT,42,33,9,78.57,1953
WASTE,26,26,0,100.0,7167734
