MRKT_DSC_SHRT,MRKT_DSC_LONG,MARKET_ID_COUNT,NIELSEN_DATASET,m1_status
TRADICONAL MEXICO GDE,,1,WATER_RT,CONFIRMED
TRADICIONAL VERACRUZ.,,1,WATER_RT,CONFIRMED
TRADICIONAL PUEBLA,,1,WATER_RT,CONFIRMED
TRADICIONAL AREA IV,,1,WATER_RT,CONFIRMED
TRADICIONAL AREA II,,1,WATER_RT,CONFIRMED
Grandes Cadenas De Autoservicio Guadalajara_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Completo Area 4_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Completo_MT,,1,WATER_RT,CONFIRMED
C. Proximidad Area 5_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Completo Area 2_MT,,1,WATER_RT,CONFIRMED
TRADICIONAL AREA I,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Extendido Area 3_MT,,1,WATER_RT,CONFIRMED
TRADICIONAL JUAREZ,,1,WATER_RT,CONFIRMED
C. Moderno Area 1_MT,,1,WATER_RT,CONFIRMED
Total Area VI_MT,,1,WATER_RT,CONFIRMED
C. Moderno Area 3_MT,,1,WATER_RT,CONFIRMED
TRADICIONAL AREA V,,1,WATER_RT,CONFIRMED
Total Area IV_MT,,1,WATER_RT,CONFIRMED
Total Area I_MT,,1,WATER_RT,CONFIRMED
TRADICIONAL TORREON,,1,WATER_RT,CONFIRMED
Moderno Monterrey_MT,,1,WATER_RT,CONFIRMED
C. Moderno Area 6_MT,,1,WATER_RT,CONFIRMED
TRADICIONAL AREA VI,,1,WATER_RT,CONFIRMED
TRADICIONAL MONTERREY,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Extendido Area 1_MT,,1,WATER_RT,CONFIRMED
Total Monterrey_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Extendido Area 4_MT,,1,WATER_RT,CONFIRMED
Total Area V_MT,,1,WATER_RT,CONFIRMED
Proximidad Monterrey_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Extendido_MT,,1,WATER_RT,CONFIRMED
Autoservicios Surtido Extendido Area 6_MT,,1,WATER_RT,CONFIRMED
